year;population;births;deaths;immigrants;emigrants;export;gdp;import
2010;45782592;497689;669840;13360;13439;3,60E+12;5,49E+12;2,13E+12
2011;45598179;502595;636884;12425;12272;3,69E+12;5,79E+12;2,45E+12
2012;45453282;520705;635311;11188;10561;3,48E+12;5,80E+12;2,55E+12
2013;45372692;503657;635155;9113;9588;3,20E+12;5,80E+12;2,46E+12
2014;45245894;465882;605800;5101;8654;2,75E+12;5,42E+12;1,92E+12
2015;42759661;411781;570944;3026;10507;2,38E+12;4,89E+12;1,60E+12
2016;42590879;397037;558733;1291;4378;2,34E+12;5,01E+12;1,74E+12
2017;42414905;363987;549356;2012;6368;2,43E+12;5,13E+12;1,97E+12
2018;42216766;335874;560705;3175;10764;2,40E+12;5,31E+12;2,02E+12
2019;41983564;308817;554947;3547;12329;2,58E+12;5,47E+12;2,14E+12
2020;41732779;293457;593581;2967;5161;2,43E+12;5,27E+12;2,01E+12
2021;41418717;271983;688209;4295;7519;2,22E+12;5,45E+12;2,29E+12
2022;40997698;;;;;1,28534E+12;3,88326E+12;1,89105E+12
