year;population;births;deaths;immigrants;emigrants;salary_avg;salary_index;export;gdp;import
2003;47823108;408589;727555;21660;57554;;;;;
2004;47442079;427259;724773;20054;41068;;;;;
2005;47100462;426086;743633;21530;31963;;;;;
2006;46749170;460368;722499;20699;27245;;;;;
2007;46465691;472657;725507;20073;26961;;;;;
2008;46192309;510589;717173;17625;19538;;;;;
2009;45963359;512525;678659;14629;17179;;;;;
2010;45782592;497689;669840;13360;13439;;;3595194000000;5486019000000;2127350000000
2011;45598179;502595;636884;12425;12272;;;3691150000000;5785859000000;2454464000000
2012;45453282;520705;635311;11188;10561;;;3482765000000;5799669000000;2547694000000
2013;45372692;503657;635155;9113;9588;;;3202011000000;5798118000000;2458880000000
2014;45245894;465882;605800;5101;8654;;;2745988000000;5418192000000;1915330000000
2015;42759661;411781;570944;3026;10507;4207,33;99,43;2384471000000;4888672000000;1596006000000
2016;42590879;397037;558733;1291;4378;5187,33;100,90;2341133000000;5008004000000;1744449000000
2017;42414905;363987;549356;2012;6368;7105,42;101,62;2433004000000;5126191000000;1969954000000
2018;42216766;335874;560705;3175;10764;8867,33;100,97;2400058000000;5305011000000;2024777000000
2019;41983564;308817;554947;3547;12329;10503,75;101,12;2575257000000;5474745000000;2141108000000
2020;41732779;293457;593581;2967;5161;11596,58;101,10;2425634000000;5269289000000;2005087000000
2021;41418717;271983;688209;4295;7519;14017,83;101,24;2217860000000;5450849000000;2289881000000
2022;40997698;;;;;14577,00;82,50;1285341000000;3883262000000;1891051000000
2023;;;;;;;;1208877000000;4098190000000;2059921000000
2024;;;;;;18935,67;;1333416000000;4231304000000;2318245000000
2025;;;;;;25957,75;;;;
