year;population;births;deaths;immigrants;emigrants
2003;47823108;408589;727555;21660;57554
2004;47442079;427259;724773;20054;41068
2005;47100462;426086;743633;21530;31963
2006;46749170;460368;722499;20699;27245
2007;46465691;472657;725507;20073;26961
2008;46192309;510589;717173;17625;19538
2009;45963359;512525;678659;14629;17179
2010;45782592;497689;669840;13360;13439
2011;45598179;502595;636884;12425;12272
2012;45453282;520705;635311;11188;10561
2013;45372692;503657;635155;9113;9588
2014;45245894;465882;605800;5101;8654
2015;42759661;411781;570944;3026;10507
2016;42590879;397037;558733;1291;4378
2017;42414905;363987;549356;2012;6368
2018;42216766;335874;560705;3175;10764
2019;41983564;308817;554947;3547;12329
2020;41732779;293457;593581;2967;5161
2021;41418717;271983;688209;4295;7519
